# De Novo Monomer Dataset compiled by Daniel Peñas-Utrilla and Enrique Marcos (July 2022)

# Designs were collected from the following references:

# id Reference
#-------------------------------------------------------------
#  1  Koga N et al.,Nature(2012). doi:10.1038/nature11600 
#  2  Lin YR et al.,PNAS(2015). doi: 10.1073/pnas.1509508112
#  3  Brunette TJ et al.,Nature(2015). doi:10.1038/nature16162
#  4  Doyle L et al.,Nature(2015). doi:10.1038/nature16191
#  5  Marcos E et al.,Science(2017). doi:10.1126/science.aah7389
#  6  Dou J et al.,Nature(2018). doi:10.1038/s41586-018-0509-0
#  7  Marcos E et al.,Nat.Struct.Mol.Biol.(2018). doi:10.1038/s41594-018-0141-6
#  8  Basanta B et al.,PNAS(2020). doi:10.1073/pnas.2005412117
#  9  Pan X et al.,Science(2020). doi:10.1126/science.abc0881
# 10  Minami S et al.,Biorxiv(2021). doi:10.1101/2021.08.06.455475
# 11  Chidyausiku TM et al.,Biorxiv(2021). doi:10.1101/2021.12.20.472081
# 12  Kuhlman B et al.,Science(2003). doi:10.1126/science.1089427
# 13  Huang PS et al.,Nat.Chem.Biol.(2016). doi:10.1038/nchembio.1966
# 13  Rocklin GJ et al.,Science(2017). doi:10.1126/science.aan0693

# the pdb field below corresponds to the name of the design as reported in the corresponding reference plus a ".0" or ".1" suffix if the design was considered unsuccessful or successful, respectively.
# succesful designs were those reported to be predominantly monomeric by SEC-MALS and had a circular dichroism spectra compatible with the design structure

pdb,median_plddt_CF,median_min_plddt_CF,median_res_plddt75_CF,median_rmsd_intra,median_rmsd_alone,median_inter_nres,max_inter_nres,median_buried_hydrophobic_surface,median_ddg,median_sasa_interface,median_monomer_hpatch,median_monomer_sap_score,median_total_score_monomer_relax,graph_solubility,Soluprot_solubility,net_charge72,median_plddt,plddt_bm,plddt_wm,min_plddt_bm,median_%_res_plddt_upper75,median_q_score,q_score_bm,q_score_wm,median_CA_rms,mean_CA_rms_bm,max_CA_rms_bm,mean_CA_rms_wm,median_%_res_CA_rms_low15,perc_low_rms,tot_exp,maxrmsd,maxavg,av_all_low3_rms,hpatch_monomer,SAP_monomer,total_score_monomer,monomer,reference_id
10_6_0048.0,72.86,55.09,42.95,0.83,2.06,37.0,40,121.46,-137.91,3086.07,100.72,103.66,-5.38,0.377,0.3801,0.4,95.69,96.15,93.71,89.08,96.3,0.76,0.82,0.75,1.62,1.17,2.3,1.73,59.26,56.1,214745.4,1.17,3.54,0.38,100.8,124.26,-2.78,0,6
1_10_0184.0,85.98,72.35,96.15,0.16,0.6,21.0,22,165.85,-49.49,1019.11,7.84,58.86,-6.68,0.396,0.6603,-0.45,86.35,89.71,80.73,80.88,91.36,0.83,0.87,0.83,1.05,0.86,1.35,1.05,92.59,46.2,240234.6,1.17,3.6,0.41,10.08,58.12,-3.2,0,6
1_5_0062.0,58.69,36.11,16.66,0.37,6.32,19.0,37,211.5,-77.64,1555.97,43.68,147.38,-6.02,0.281,0.6604,-1.64,85.97,91.71,63.36,83.51,86.42,0.65,0.7,0.65,2.61,2.12,3.08,2.7,0.0,46.2,875723.8,1.17,5.76,0.4,118.72,182.34,-3.19,0,6
3_2_0065.0,72.86,55.09,42.95,0.83,2.05,37.0,40,121.02,-130.65,2968.34,100.64,103.22,-5.39,0.377,0.3801,0.4,96.12,96.25,94.1,88.95,96.3,0.76,0.79,0.74,1.67,1.4,2.99,1.78,58.02,56.4,214415.8,1.18,3.53,0.37,100.8,124.0,-2.8,0,6
4_4_0020.0,71.85,47.99,37.2,0.17,2.2,37.0,39,192.96,-146.08,3254.32,113.84,176.34,-6.23,0.337,0.4756,0.38,60.67,92.45,42.88,83.95,16.47,0.72,0.73,0.72,2.15,2.12,6.55,2.2,29.41,45.2,809954.3,1.67,5.0,0.4,104.8,187.45,-3.05,0,6
5_10_0080.0,59.62,33.54,5.77,0.41,9.36,36.0,50,194.36,-121.83,1903.7,38.24,145.83,-5.32,0.328,0.3863,-3.62,80.85,91.55,60.21,77.91,82.72,0.58,0.58,0.57,3.62,3.59,5.46,3.97,0.0,41.0,749989.6,1.64,5.57,0.5,105.92,179.25,-2.76,0,6
6_6_0064.0,62.66,42.82,7.69,0.27,1.64,12.5,20,161.78,-27.25,794.1,5.52,56.52,-6.54,0.332,0.6554,2.54,71.23,74.16,51.74,44.95,41.98,0.74,0.79,0.73,1.63,1.3,2.44,1.72,53.09,51.2,189409.2,1.22,3.55,0.43,3.04,56.03,-3.29,0,6
7_1_0012.0,67.0,39.11,18.29,0.2,1.27,29.0,33,113.71,-99.09,2499.85,71.44,84.08,-5.56,0.375,0.5113,4.45,84.1,89.19,54.97,80.64,92.94,0.83,0.86,0.82,1.1,0.97,1.82,1.17,81.18,56.7,131311.3,1.4,3.2,0.36,101.28,86.53,-2.82,0,6
BB1.1,86.74,58.0,86.32,0.09,0.85,13.5,15,111.87,-22.03,602.35,3.76,47.67,-6.86,0.467,0.5801,-2.6,88.65,90.13,85.45,61.68,91.74,0.87,0.88,0.87,0.84,0.8,1.41,0.85,95.41,52.0,585130.9,2.18,5.72,0.57,6.4,47.49,-3.52,1,6
BB2.0,87.59,57.75,92.93,0.06,0.23,4.0,7,104.0,-19.49,505.43,7.68,42.43,-6.98,0.56,0.6729,0.51,90.75,91.84,88.01,76.04,96.33,0.8,0.84,0.8,1.19,0.96,2.02,1.21,81.65,55.3,434230.2,1.46,5.37,0.53,8.8,42.03,-3.59,0,6
